T1,e144,RSC Anderlecht,Anderlecht,B1,anderlecht
T2,e139,Club Brugge,Club Brugge,B1,club-brugge
T3,e148,Cercle Brugge,Cercle Brugge,B1,cercle-brugge
T4,e154,KV Oostende,KV Oostende,B1,kv-oostende
T5,e149,SV Zulte Waregem,Zulte Waregem,B1,zulte-waregem
T6,e150,KV Kortrijk,Kortrijk,B1,kortrijk
T7,e146,KAA Gent,Gent,B1,gent
T8,e151,Waasland-Beveren,Waasland-Beveren,B1,waasland-beveren
T9,e143,R. Charleroi SC,Charleroi,B1,charleroi
T10,e140,Royal Antwerp FC,Royal Antwerp,B1,royal-antwerp
T11,e145,Standard Liège,Standard Liège,B1,standard-liege
T12,e152,KV Mechelen,KV Mechelen,B1,kv-mechelen
T13,e141,KRC Genk,Genk,B1,genk
T14,e153,R. Mouscron-Péruwelz,Royal Mouscron,B1,royal-mouscron
T15,e142,Sint-Truidense VV,St.Truidense,B1,st-truidense
T16,e147,KAS Eupen,Eupen,B1,eupen
T17,e041,Bayern München,Bayern M,D1,bayern-m
T18,e042,Borussia Dortmund,Dortmund,D1,dortmund
T19,e043,RB Leipzig,RB Leipzig,D1,rb-leipzig
T20,e044,Borussia M'gladbach,M'gladbach,D1,m-gladbach
T21,e045,Bayer 04 Leverkusen,Leverkusen,D1,leverkusen
T22,e046,FC Schalke 04,Schalke 04,D1,schalke-04
T23,e047,Wolfsburg,Wolfsburg,D1,wolfsburg
T24,e048,Freiburg,Freiburg,D1,freiburg
T25,e049,1899 Hoffenheim,Hoffenheim,D1,hoffenheim
T26,e050,1. FC Köln,Köln,D1,koln
T27,e051,1. FC Union Berlin,Union Berlin,D1,union-berlin
T28,e052,Eintracht Frankfurt,E. Frankfurt,D1,e-frankfurt
T29,e053,Hertha BSC,Hertha,D1,hertha
T30,e054,FC Augsburg,Augsburg,D1,augsburg
T31,e055,1. FSV Mainz 05,Mainz 05,D1,mainz-05
T32,e056,Fortuna Düsseldorf,Fortuna,D1,fortuna
T33,e057,Werder Bremen,Bremen,D1,bremen
T34,e058,SC Paderborn 07,Paderborn,D1,paderborn
T35,e226,Arminia Bielefeld,Bielefeld,D2,bielefeld
T36,e241,VfB Stuttgart,Stuttgart,D2,stuttgart
T37,e240,Hamburger SV,HSV,D2,hsv
T38,e242,1. FC Heidenheim,Heidenheim,D2,heidenheim
T39,e234,SpVgg Greuther Fürth,Fürth,D2,furth
T40,e239,Darmstadt 98,Darmstadt,D2,darmstadt
T41,e238,Holstein Kiel,Kiel,D2,kiel
T42,e236,Erzgebirge Aue,Aue,D2,aue
T43,e232,Hannover 96,Hannover,D2,hannover
T44,e237,SSV Jahn Regensburg,Regensburg,D2,regensburg
T45,e227,FC St. Pauli,St. Pauli,D2,st-pauli
T46,e228,VfL Osnabrück,Osnabrück,D2,osnabrück
T47,e243,SV Sandhausen,Sandhausen,D2,sandhausen
T48,e231,1. FC Nürnberg,Nürnberg,D2,nurnberg
T49,e233,VfL Bochum,Bochum,D2,bochum
T50,e229,Wehen Wiesbaden,Wehen,D2,wehen
T51,e235,Karlsruher SC,Karlsruher,D2,karlsruher
T52,e230,Dynamo Dresden,Dresden,D2,dresden
T53,e001,Liverpool,Liverpool,E0,liverpool
T54,e002,Manchester City,Man City,E0,man-city
T55,e003,Leicester City,Leicester,E0,leicester
T56,e004,Chelsea,Chelsea,E0,chelsea
T57,e005,Manchester United,Man United,E0,man-united
T58,e006,Wolverhampton,Wolverhampton,E0,wolverhampton
T59,e007,Sheffield United,Sheffield Utd,E0,sheffield-utd
T60,e008,Tottenham,Tottenham,E0,tottenham
T61,e009,Arsenal,Arsenal,E0,arsenal
T62,e010,Burnley,Burnley,E0,burnley
T63,e011,Crystal Palace,Crystal Palace,E0,crystal-palace
T64,e012,Everton,Everton,E0,everton
T65,e013,Newcastle United,Newcastle,E0,newcastle
T66,e014,Southampton,Southampton,E0,southampton
T67,e015,Brighton & Hove Albion,Brighton,E0,brighton
T68,e016,West Ham United,West Ham,E0,west-ham
T69,e017,Watford,Watford,E0,watford
T70,e018,Bournemouth,Bournemouth,E0,bournemouth
T71,e020,Aston Villa,Aston Villa,E0,aston-villa
T72,e019,Norwich City,Norwich,E0,norwich
T73,e156,Leeds United,Leeds,E1,leeds
T74,e155,West Bromwich Albion,West Brom,E1,west-brom
T75,e157,Fulham,Fulham,E1,fulham
T76,e158,Brentford,Brentford,E1,brentford
T77,e160,Nottingham Forest,Forest,E1,forest
T78,e161,Preston North End,Preston,E1,preston
T79,e159,Bristol City,Bristol City,E1,bristol-city
T80,e163,Millwall,Millwall,E1,millwall
T81,e162,Cardiff City,Cardiff,E1,cardiff
T82,e165,Blackburn Rovers,Blackburn,E1,blackburn
T83,e166,Swansea City,Swansea,E1,swansea
T84,e164,Derby County,Derby,E1,derby
T85,e169,Queens Park Rangers,QPR,E1,qpr
T86,e173,Reading,Reading,E1,reading
T87,e171,Sheffield Wednesday,Sheffield Wed,E1,sheffield-wed
T88,e170,Birmingham City,Birmingham,E1,birmingham
T89,e174,Stoke City,Stoke,E1,stoke
T90,e177,Huddersfield Town,Huddersfield,E1,huddersfield
T91,e167,Middlesbrough,Middlesbrough,E1,middlesbrough
T92,e176,Wigan Athletic,Wigan,E1,wigan
T93,e168,Hull City,Hull,E1,hull
T94,e175,Charlton Athletic,Charlton,E1,charlton
T95,e178,Luton Town,Luton,E1,luton
T96,e172,Barnsley,Barnsley,E1,barnsley
T97,e199,Coventry City,Coventry,E2,coventry
T98,e180,Rotherham United,Rotherham,E2,rotherham
T99,e179,Oxford United,Oxford Utd,E2,oxford-utd
T100,e198,Portsmouth,Portsmouth,E2,portsmouth
T101,e201,Fleetwood Town,Fleetwood,E2,fleetwood
T102,e186,Peterborough United,Peterborough Utd,E2,peterborough-utd
T103,e200,Sunderland,Sunderland,E2,sunderland
T104,e187,Wycombe Wanderers,Wycombe,E2,wycombe
T105,e191,Doncaster Rovers,Doncaster,E2,doncaster
T106,e184,Ipswich Town,Ipswich,E2,ipswich
T107,e183,Gillingham,Gillingham,E2,gillingham
T108,e195,Burton Albion,Burton,E2,burton
T109,e188,Blackpool,Blackpool,E2,blackpool
T110,e189,Bristol Rovers,Bristol Rovers,E2,bristol-rovers
T111,e192,Lincoln City,Lincoln,E2,lincoln
T112,e190,Shrewsbury Town,Shrewsbury,E2,shrewsbury
T113,e196,Accrington Stanley,Accrington,E2,accrington
T114,e181,Milton Keynes Dons,MK Dons,E2,mk-dons
T115,e194,Rochdale,Rochdale,E2,rochdale
T116,e197,AFC Wimbledon,Wimbledon,E2,wimbledon
T117,e185,Tranmere Rovers,Tranmere,E2,tranmere
T118,e193,Southend United,Southend Utd,E2,southend-utd
T119,e182,Bolton Wanderers,Bolton,E2,bolton
T120,e203,Crewe Alexandra,Crewe,E3,crewe
T121,e206,Swindon Town,Swindon,E3,swindon
T122,e214,Plymouth Argyle,Plymouth,E3,plymouth
T123,e220,Exeter City,Exeter,E3,exeter
T124,e212,Cheltenham Town,Cheltenham,E3,cheltenham
T125,e211,Colchester United,Colchester,E3,colchester
T126,e208,Northampton Town,Northampton,E3,northampton
T127,e207,Port Vale,Port Vale,E3,port-vale
T128,e204,Bradford City,Bradford,E3,bradford
T129,e225,Salford City,Salford,E3,salford
T130,e222,Forest Green Rovers,Forest Green,E3,forest-green
T131,e224,Crawley Town,Crawley,E3,crawley
T132,e202,Grimsby Town,Grimsby,E3,grimsby
T133,e205,Walsall,Walsall,E3,walsall
T134,e216,Newport County,Newport,E3,newport
T135,e209,Cambridge United,Cambridge,E3,cambridge
